,Date,Open,High,Low,Close,Adj Close,Volume
0,2022-09-09,2610.0,2610.0,2564.0,2569.300048828125,2560.256103515625,3837302
1,2022-09-12,2570.550048828125,2612.0,2570.550048828125,2598.050048828125,2588.90478515625,3431445
2,2022-09-13,2618.0,2629.699951171875,2601.0,2619.75,2610.528564453125,4102114
3,2022-09-14,2575.0,2610.0,2572.75,2588.35009765625,2579.239013671875,4004997
4,2022-09-15,2583.0,2603.550048828125,2556.75,2562.699951171875,2553.67919921875,4783723
5,2022-09-16,2543.75,2553.0,2491.0,2499.199951171875,2490.40283203125,9330469
6,2022-09-19,2499.199951171875,2522.699951171875,2481.35009765625,2502.449951171875,2493.641357421875,3498286
7,2022-09-20,2522.449951171875,2537.699951171875,2494.699951171875,2502.85009765625,2494.0400390625,3881882
8,2022-09-21,2496.75,2533.0,2495.0,2509.75,2500.915771484375,4249172
9,2022-09-22,2486.0,2503.0,2472.10009765625,2486.10009765625,2477.348876953125,4757219
10,2022-09-23,2485.0,2495.949951171875,2436.10009765625,2439.5,2430.912841796875,4397194
11,2022-09-26,2394.050048828125,2417.800048828125,2375.14990234375,2377.35009765625,2368.981689453125,5759298
12,2022-09-27,2394.0,2426.0,2360.10009765625,2396.25,2387.815185546875,7455448
13,2022-09-28,2360.35009765625,2378.0,2327.10009765625,2332.449951171875,2324.23974609375,7844140
14,2022-09-29,2360.0,2367.5,2313.0,2325.300048828125,2317.114990234375,6771046
15,2022-09-30,2311.0,2402.0,2311.0,2377.75,2369.38037109375,8589908
16,2022-10-03,2391.5,2416.949951171875,2363.0,2369.5,2361.159423828125,5470030
17,2022-10-04,2397.800048828125,2418.0,2390.14990234375,2413.199951171875,2404.70556640625,4129893
18,2022-10-06,2429.0,2450.0,2418.14990234375,2422.10009765625,2413.57421875,6162021
19,2022-10-07,2414.64990234375,2443.89990234375,2414.64990234375,2432.35009765625,2423.7880859375,3560167
20,2022-10-10,2405.0,2417.60009765625,2388.0,2405.800048828125,2397.33154296875,2921076
21,2022-10-11,2414.0,2414.0,2351.10009765625,2357.89990234375,2349.60009765625,4252803
22,2022-10-12,2352.0,2381.699951171875,2343.10009765625,2375.25,2366.88916015625,3422992
23,2022-10-13,2371.39990234375,2394.0,2360.10009765625,2382.800048828125,2374.41259765625,3382098
24,2022-10-14,2415.0,2416.35009765625,2369.10009765625,2370.699951171875,2362.35498046875,4202459
25,2022-10-17,2355.0,2414.0,2343.60009765625,2408.75,2400.271240234375,7720595
26,2022-10-18,2422.0,2463.0,2420.14990234375,2451.25,2442.62158203125,5729899
27,2022-10-19,2454.5,2527.85009765625,2441.699951171875,2493.89990234375,2485.121337890625,8882553
28,2022-10-20,2485.0,2519.0,2485.0,2500.60009765625,2491.7978515625,4022919
29,2022-10-21,2507.699951171875,2516.800048828125,2467.0,2471.60009765625,2462.900146484375,3804352
30,2022-10-24,2460.0,2502.5,2455.300048828125,2479.85009765625,2471.12109375,1555270
31,2022-10-25,2499.0,2499.0,2438.0,2441.550048828125,2432.955810546875,5645639
32,2022-10-27,2458.0,2468.449951171875,2432.800048828125,2451.14990234375,2442.521728515625,5774775
33,2022-10-28,2465.0,2535.0,2459.449951171875,2526.14990234375,2517.2578125,8126824
34,2022-10-31,2541.0,2560.949951171875,2532.199951171875,2549.60009765625,2540.62548828125,5731802
35,2022-11-01,2600.0,2600.0,2508.0,2529.85009765625,2520.945068359375,6443999
36,2022-11-02,2532.300048828125,2550.199951171875,2515.0,2545.64990234375,2536.689208984375,4145144
37,2022-11-03,2529.85009765625,2559.550048828125,2525.050048828125,2555.14990234375,2546.15576171875,3089026
38,2022-11-04,2553.89990234375,2600.0,2551.10009765625,2592.75,2583.62353515625,5803737
39,2022-11-07,2591.0,2610.300048828125,2574.0,2606.60009765625,2597.4248046875,5440967
40,2022-11-09,2610.300048828125,2621.949951171875,2590.050048828125,2604.0,2594.833984375,5193814
41,2022-11-10,2590.0,2596.550048828125,2563.0,2572.5,2563.44482421875,2753420
42,2022-11-11,2600.0,2636.0,2588.0,2631.800048828125,2622.5361328125,5681124
43,2022-11-14,2630.75,2642.0,2605.14990234375,2619.050048828125,2609.8310546875,4173395
44,2022-11-15,2622.300048828125,2626.39990234375,2590.0,2607.300048828125,2598.122314453125,3270388
45,2022-11-16,2610.0,2615.949951171875,2581.35009765625,2592.35009765625,2583.22509765625,4484007
46,2022-11-17,2584.949951171875,2613.0,2580.0,2599.050048828125,2589.9013671875,3074259
47,2022-11-18,2606.75,2609.0,2571.10009765625,2597.64990234375,2588.506103515625,2447425
48,2022-11-21,2588.0,2588.0,2543.10009765625,2550.89990234375,2541.920654296875,2949108
49,2022-11-22,2545.0,2568.5,2536.5,2565.050048828125,2556.02099609375,3051201
50,2022-11-23,2575.0,2577.89990234375,2552.25,2557.050048828125,2548.04931640625,2959787
51,2022-11-24,2566.0,2594.0,2548.199951171875,2579.10009765625,2570.021728515625,4333225
52,2022-11-25,2589.0,2624.89990234375,2582.10009765625,2617.60009765625,2608.38623046875,3391988
53,2022-11-28,2608.89990234375,2721.050048828125,2502.0,2707.550048828125,2698.01953125,14549929
54,2022-11-29,2703.949951171875,2731.64990234375,2694.0,2712.199951171875,2702.653076171875,5103687
55,2022-11-30,2712.5,2745.449951171875,2698.199951171875,2731.35009765625,2721.735595703125,12075137
56,2022-12-01,2741.800048828125,2755.0,2716.0,2723.300048828125,2713.714111328125,4377696
57,2022-12-02,2730.0,2748.0,2700.60009765625,2722.14990234375,2712.56787109375,5348595
